arrondissement,nb_pieces,nb_chambres,surface,prix,lien,prix_mc
18,3,,64,630000,https://www.orpi.com/annonce-vente-appartement-t3-paris-18-75018-b-e1lgww/,9843.75
18,4,,138,1140250,https://www.orpi.com/annonce-vente-appartement-t4-paris-18-75018-b-e1lgtu/,8262.68115942029
10,1,,25,329000,https://www.orpi.com/annonce-vente-appartement-t1-paris-10-75010-b-e1lhfv/,13160.0
6,5,,135,2500000,https://www.orpi.com/annonce-vente-appartement-t5-paris-6-75006-b-e1inz3/,18518.51851851852
20,4,,33,636000,https://www.orpi.com/annonce-vente-appartement-t4-paris-20-75020-b-e1lekl/,19272.727272727272
16,5,,136,1710000,https://www.orpi.com/annonce-vente-appartement-t5-paris-16-75016-b-e1l9in/,12573.529411764706
17,5,,107,1075000,https://www.orpi.com/annonce-vente-appartement-t5-paris-17-75017-b-e1le4z/,10046.728971962617
5,5,,94,1335000,https://www.orpi.com/annonce-vente-appartement-t5-paris-5-75005-b-e1lejl/,14202.127659574468
19,6,,94,950000,https://www.orpi.com/annonce-vente-appartement-t6-paris-19-75019-b-e1l457/,10106.382978723404
15,3,,59,634500,https://www.orpi.com/annonce-vente-appartement-t3-paris-15-75015-b-e1k2wn/,10754.237288135593
20,4,,33,636000,https://www.orpi.com/annonce-vente-maison-t4-paris-20-75020-b-e1laq8/,19272.727272727272
9,1,,9,105000,https://www.orpi.com/annonce-vente-appartement-t1-paris-9-75009-b-e1lb8d/,11666.666666666666
19,3,,53,577500,https://www.orpi.com/annonce-vente-appartement-t3-paris-19-75019-b-e1jydg/,10896.22641509434
15,2,,30,351000,https://www.orpi.com/annonce-vente-appartement-t2-paris-15-75015-b-e1jhem/,11700.0
18,4,,95,690000,https://www.orpi.com/annonce-vente-appartement-t4-paris-18-75018-b-e1l8q0/,7263.1578947368425
14,3,,67,820000,https://www.orpi.com/annonce-vente-appartement-t3-paris-14-75014-b-e1l0ao/,12238.805970149253
11,3,,68,980000,https://www.orpi.com/annonce-vente-appartement-t3-paris-11-75011-b-e1l8sv/,14411.764705882353
16,2,,44,517920,https://www.orpi.com/annonce-vente-appartement-t2-paris-16-75016-b-e1l54v/,11770.90909090909
10,1,,15,250000,https://www.orpi.com/annonce-vente-appartement-t1-paris-10-75010-b-e1kt8y/,16666.666666666668
10,3,,68,749000,https://www.orpi.com/annonce-vente-appartement-t3-paris-10-75010-b-e1hpwn/,11014.70588235294
10,2,,29,332000,https://www.orpi.com/annonce-vente-appartement-t2-paris-10-75010-b-e1l88f/,11448.275862068966
19,4,,63,639000,https://www.orpi.com/annonce-vente-appartement-t4-paris-19-75019-b-e1l88y/,10142.857142857143
10,3,,66,750000,https://www.orpi.com/annonce-vente-appartement-t3-paris-10-75010-b-e1k70v/,11363.636363636364
3,2,,35,477000,https://www.orpi.com/annonce-vente-appartement-t2-paris-3-75004-b-e1l61t/,13628.57142857143
20,1,,15,232000,https://www.orpi.com/annonce-vente-appartement-t1-paris-20-75020-b-e1kbqp/,15466.666666666666
19,4,,77,750000,https://www.orpi.com/annonce-vente-appartement-t4-paris-19-75019-b-e1l5th/,9740.25974025974
20,2,,25,262000,https://www.orpi.com/annonce-vente-appartement-t2-paris-20-75020-b-e1l397/,10480.0
7,2,,28,430000,https://www.orpi.com/annonce-vente-appartement-t2-paris-7-75007-b-e1l43d/,15357.142857142857
14,3,,60,735000,https://www.orpi.com/annonce-vente-appartement-t3-paris-14-75014-b-e1l39h/,12250.0
12,3,,49,560000,https://www.orpi.com/annonce-vente-appartement-t3-paris-12-75012-b-e1l2w5/,11428.57142857143
12,3,,69,749000,https://www.orpi.com/annonce-vente-appartement-t3-paris-12-75012-b-e1k2uv/,10855.072463768116
12,1,,41,431000,https://www.orpi.com/annonce-vente-appartement-t1-paris-12-75012-b-e1kyw2/,10512.19512195122
20,2,,38,408100,https://www.orpi.com/annonce-vente-appartement-t2-paris-20-75020-b-e1l0h8/,10739.473684210527
12,2,,40,420000,https://www.orpi.com/annonce-vente-appartement-t2-paris-12-75012-b-e1kdpk/,10500.0
12,4,,74,782800,https://www.orpi.com/annonce-vente-appartement-t4-paris-12-75012-b-e1ejq3/,10578.378378378378
15,2,,40,525000,https://www.orpi.com/annonce-vente-appartement-t2-paris-15-75015-b-e1kpje/,13125.0
11,2,,39,457000,https://www.orpi.com/annonce-vente-appartement-t2-paris-11-75011-b-e1kcsa/,11717.948717948719
13,1,,25,297000,https://www.orpi.com/annonce-vente-appartement-t1-paris-13-75013-b-e1jted/,11880.0
16,1,,12,75000,https://www.orpi.com/annonce-vente-appartement-t1-paris-16-75017-b-e1kq4p/,6250.0
15,2,,44,553850,https://www.orpi.com/annonce-vente-appartement-t2-paris-15-75015-b-e1kj28/,12587.5
15,2,,32,396250,https://www.orpi.com/annonce-vente-appartement-t2-paris-15-75015-b-e1k17x/,12382.8125
11,2,,70,735000,https://www.orpi.com/annonce-vente-appartement-t2-paris-11-75011-b-e1kj5w/,10500.0
20,3,,53,468000,https://www.orpi.com/annonce-vente-appartement-t3-paris-20-75020-b-e1khk3/,8830.188679245282
14,2,,41,245000,https://www.orpi.com/annonce-vente-appartement-t2-paris-14-93250-b-e1khr3/,5975.609756097561
14,3,,52,680000,https://www.orpi.com/annonce-vente-appartement-t3-paris-14-75014-b-e1j62n/,13076.923076923076
15,2,,46,476000,https://www.orpi.com/annonce-vente-appartement-t2-paris-15-75015-b-e1k90k/,10347.826086956522
13,3,,57,655000,https://www.orpi.com/annonce-vente-appartement-t3-paris-13-75013-b-e1eil2/,11491.228070175439
10,3,,44,689000,https://www.orpi.com/annonce-vente-appartement-t3-paris-10-75010-b-e1kdyi/,15659.09090909091
19,3,,57,535500,https://www.orpi.com/annonce-vente-appartement-t3-paris-19-75019-b-e1k1me/,9394.736842105263
18,2,,25,390000,https://www.orpi.com/annonce-vente-appartement-t2-paris-18-75018-b-e1kd5f/,15600.0
17,1,,25,287000,https://www.orpi.com/annonce-vente-appartement-t1-paris-17-75017-b-e1kdco/,11480.0
